Longitude,Latitude,SettlementWeight
9.0658446,48.8263983,24272.0
8.6820917,50.1106444,701350.0
9.6861474,48.4896773,10968.0
9.4781135,48.2751679,2141.0
8.8791526,51.936284,73449.0
8.5245089,49.0532906,10392.0
6.9484101,50.6818634,50.0
6.8493503,51.2973261,93099.0
14.1534018,50.918091,3409.0
9.9891914,53.7089898,80420.0
7.6288485,50.674805,410.0
7.6805251,50.6670908,648.0
7.5690165,50.6551276,195.0
7.6149238,50.6514673,247.0
7.62814,50.7082369,271.0
7.6333318,50.7161144,339.0
7.6456857,50.714561,105.0
7.6220588,50.739252,446.0
7.6515457,50.7370108,300.0
7.619595,50.7241038,253.0
7.7187358,50.7017861,326.0
7.7366649,50.7214788,225.0
7.8855701,50.6977241,544.0
7.8846162,50.6169457,283.0
6.9067285,51.1323633,6462.0
11.2723847,50.1140594,149.0
11.243397,50.1284895,5609.0
9.31614,48.86596,5000.0
12.8000119,50.7996456,2188.0
7.3065922,50.5157382,5659.0
7.2157397,50.5996127,5075.0
6.1561074,51.1007618,17182.0
6.3611015,50.9220931,33948.0
8.4981809,49.3004929,5338.0
8.5220709,49.2936758,6570.0
9.297277,48.8563831,5000.0
9.2759617,48.8698091,4765.0
11.3013554,47.8228233,2883.0
8.8198737,52.9131332,23666.0
12.283556,52.6056994,737.0
8.7497818,53.027353,32556.0
12.4199023,51.8414537,1430.0
12.4045328,51.7979734,3000.0
12.4880035,51.7850536,530.0
12.4647871,51.7862428,350.0
11.8879078,48.0710315,9239.0
12.324152,51.2182735,9479.0
11.1326899,49.5582463,3050.0
8.9956248,48.6309208,4596.0
9.2316035,48.7181954,5123.0
9.2377466,48.7471657,9897.0
9.612468,47.7811014,50776.0
8.7783989,52.1370194,3035.0
12.4689081,51.8235488,212.0
12.4882362,51.8145675,441.0
12.4929107,51.8270153,276.0
12.939163,50.7615393,1000.0
8.3720124,48.5069519,14453.0
8.4111727,48.4637727,23888.0
12.7075852,50.9331827,4903.0
13.0772325,50.8503529,11128.0
12.3290891,52.5582248,1277.0
10.6391585,53.7338071,2047.0
10.6913146,53.7428339,89.0
10.7295089,53.7508513,383.0
10.750665,53.8037317,3521.0
8.0013624,47.7387447,2085.0
6.32081,50.9255538,3050.0
6.2927805,50.9340753,403.0
6.2763642,50.9648735,728.0
6.2600981,50.960552,634.0
6.2479486,50.9465527,963.0
6.2247322,51.0552368,38709.0
11.9785739,50.462076,81.0
11.9931575,50.4825666,289.0
7.7683997,50.0597943,1575.0
12.0304812,50.5319304,83.0
10.8637876,50.0781451,110.0
10.868346,50.066728,55.0
10.8831523,50.0481151,167.0
12.5381465,47.8942626,4530.0
12.4783274,47.9340156,993.0
7.6118499,53.6468107,7221.0
7.9020696,53.5736426,13829.0
9.3473799,48.8223541,4000.0
9.0755904,49.9207462,8505.0
7.8969746,47.6526083,1100.0
13.049481,51.5035897,523.0
13.0776885,51.4890449,202.0
12.9068087,51.5202418,521.0
6.2165366,51.0973352,4580.0
8.8159217,49.3209158,5393.0
6.6986699,51.1559576,9200.0
10.0002727,49.7243433,2873.0
10.015454,49.7068994,1523.0
8.3616375,50.0475038,5109.0
8.1421337,48.8209175,4909.0
8.1988679,48.9003169,3111.0
9.9836553,49.7780906,6267.0
9.8403362,49.7867186,3431.0
8.177035,47.8185928,2562.0
9.3139328,48.8888869,5000.0
11.9162992,50.3187507,44522.0
11.6437323,50.3661332,3618.0
10.4885873,48.8516578,20546.0
10.2454589,48.8716385,3600.0
10.5807045,48.7754142,1490.0
13.2644532,52.4016457,19541.0
11.5848641,50.0943381,3168.0
11.593975,50.2040826,1029.0
8.2844922,49.1964663,8469.0
8.250027,49.2344923,2275.0
8.0182635,48.4946385,3884.0
7.9852269,48.5079094,1230.0
8.0256131,50.8751175,99403.0
10.989534,51.1624323,2047.0
11.0892955,48.5820885,6330.0
8.1659943,47.7354379,2522.0
8.131426,47.7602106,4080.0
8.0784862,47.6411618,4555.0
12.5924162,47.9623271,20935.0
12.8183211,50.7686553,1789.0
12.802147,50.7653911,700.0
12.7343596,50.7894372,5851.0
13.714757,51.0588443,10.038
9.2803676,48.8874995,3635.0
9.2944928,48.8976705,2162.0
9.0588285,48.6565452,9803.0
8.7997207,53.5782917,1130.0
13.0106108,50.5788781,21604.0
9.4294425,52.4257979,40639.0
13.1037169,50.5440998,742.0
13.0900195,50.5142346,3381.0
7.7457142,49.8668146,624.0
6.3296535,51.6547254,568.0
13.7488118,52.8663457,2000.0
9.2563273,48.431259,9145.0
9.3908141,48.3992436,1219.0
7.8476208,47.7054471,6067.0
9.1312415,48.6374291,8726.0
9.2092452,48.6247134,2300.0
9.0591401,48.5610315,335.0
9.4830162,52.6627327,2743.0
7.444639,51.7717757,24263.0
7.6429253,47.6419637,1592.0
7.0952933,51.7152342,3576.0
9.7049266,49.3842215,2469.0
9.4869475,49.3269972,657.0
7.2744267,49.3146463,3902.0
13.307754,52.3540888,8291.0
13.3558425,52.340139,789.0
9.6788454,49.1767563,200.0
13.5048276,52.388552,17017.0
9.8602253,53.5738475,25773.0
9.874564,53.5929519,35070.0
13.4747346,52.3712612,784.0
9.9101449,52.6796244,12554.0
9.716027,52.5757991,336.0
9.7299326,52.5470675,6623.0
9.7292529,52.4748183,6300.0
7.2067435,53.5942039,24887.0
13.6131624,52.5086995,27105.0
13.418888,52.2914292,10609.0
9.9647193,52.3144002,23181.0
13.4834202,52.3078134,153.0
8.9201017,48.5430769,973.0
13.2602781,53.5574458,63437.0
9.3226283,48.848514,6000.0
11.262593,49.8035845,645.0
13.0514572,49.1964146,3500.0
12.8529347,49.1758229,4000.0
7.2727209,53.5230727,1920.0
9.3589259,52.4566199,4895.0
9.1240565,49.1434266,10429.0
9.7698525,49.0002603,12592.0
9.101268,49.2393031,20193.0
11.1847072,49.1406548,500.0
