Longitude,Latitude,IndustrialWeight
8.3931479,48.9515064,1.0
8.7097381,50.5739322,1.0
9.3209385,48.8220575,1.0
13.3170727,52.5278407,1.0
13.3216262,52.5268875,1.0
12.2954142,51.255899,1.0
12.2952466,51.255042,1.0
8.7926474,53.0768059,1.0
7.9743571,51.9518762,1.0
7.8645321,51.9262574,1.0
7.7094493,51.9792104,1.0
8.4212776,48.9364454,1.0
8.5092588,50.0504836,1.0
8.5197122,50.0545566,1.0
12.7904464,53.9073566,1.0
8.4453154,50.1712457,1.0
12.8691699,52.4920438,1.0
13.2542883,50.6508136,1.0
9.404474,49.6508745,1.0
13.3051811,52.4809998,1.0
13.3076837,52.4812841,1.0
11.7185823,48.0396877,1.0
12.3552327,52.5317341,1.0
13.3086103,52.5341892,1.0
13.309674,52.530332,1.0
13.3037401,52.5329244,1.0
7.6008475,51.9202025,1.0
8.0617776,51.7594258,1.0
7.0375754,50.7169155,1.0
8.6328963,50.5929873,1.0
8.6381542,50.1627338,1.0
13.7559392,51.0443072,1.0
9.409126,52.4284928,1.0
8.6243168,50.6003026,1.0
8.6312464,50.5920844,1.0
7.8656174,49.5096989,1.0
8.6480431,50.1651934,1.0
13.4754335,52.5083796,1.0
8.3901585,48.9435531,1.0
7.2668706,51.4670488,1.0
12.2332731,51.8183753,1.0
13.3893154,52.4168605,1.0
13.3794081,52.4220295,1.0
13.3815343,52.4257535,1.0
8.335951,49.0231538,1.0
8.5818836,52.0158218,1.0
8.5879618,52.0076599,1.0
8.5911356,52.0131069,1.0
11.6918986,47.8880486,1.0
9.4737929,48.8056232,1.0
8.6159653,50.5850551,1.0
8.6365895,50.5753326,1.0
8.635758,50.581838,1.0
9.0590615,50.0112099,1.0
9.4435557,48.7493741,1.0
8.6544222,50.1907273,1.0
9.0619903,48.6926153,1.0
8.7603498,52.0462534,1.0
8.7552546,52.0479122,1.0
8.7555463,52.0557382,1.0
8.6726519,52.1769826,1.0
13.3028517,52.4927086,1.0
8.8289155,52.0356121,1.0
8.6533618,50.1838047,1.0
9.1154035,53.4920249,1.0
8.7874003,49.8663555,1.0
8.7621696,52.0324942,1.0
9.4456649,52.4249119,1.0
8.6492962,52.1946211,1.0
12.2583487,51.1880455,1.0
8.678475,52.1910159,1.0
8.734141,52.1992397,1.0
11.2015175,47.6895796,1.0
8.7347931,52.2015916,1.0
8.6963942,52.1836206,1.0
11.0257762,49.3564475,1.0
13.7418285,51.1267917,1.0
10.3400378,51.8127365,1.0
8.6136703,50.6133683,1.0
11.0370167,49.3597821,1.0
11.0457071,49.3324189,1.0
11.0490962,49.3306995,1.0
9.4951399,48.9458304,1.0
8.2359831,48.8642595,1.0
9.8316171,53.5924647,1.0
9.8334135,53.5910298,1.0
11.7797912,48.3818536,1.0
8.7031288,50.2078943,1.0
9.8356325,53.5916099,1.0
9.8372696,53.5945496,1.0
9.4983924,48.9450474,1.0
9.7015904,52.4484618,1.0
11.1808763,47.8994627,1.0
8.6429581,50.023669,1.0
8.6585951,50.0204909,1.0
9.0019011,48.6262882,1.0
9.0089155,48.6377186,1.0
9.8965106,53.4787141,1.0
6.7271807,51.4906552,1.0
6.6902191,51.4795785,1.0
8.5259747,50.0532302,1.0
8.7316955,49.7192299,1.0
11.5440487,49.9598603,1.0
8.619835,50.1086688,1.0
8.9705196,48.7355923,1.0
8.9518295,48.7468538,1.0
8.9462165,48.6505256,1.0
8.9274183,48.6524584,1.0
8.953343,48.662385,1.0
8.9254913,48.6610548,1.0
9.0393187,48.6703413,1.0
8.726859,50.1782943,1.0
8.7445253,50.1951185,1.0
8.6201346,52.2048547,1.0
10.8590644,52.3990386,1.0
8.1720125,49.5606906,1.0
8.1704593,49.5614635,1.0
8.172511,49.5616171,1.0
8.6386863,52.1297292,1.0
8.5989134,52.0077124,1.0
9.0598266,51.1836409,1.0
7.8753909,51.7386011,1.0
8.8958218,48.6227468,1.0
8.9054966,48.6212173,1.0
8.8983123,48.6299858,1.0
7.926406,51.7748366,1.0
7.9452583,51.7743735,1.0
7.910272,51.770106,1.0
