Bus_id,LoadZone,reference_load_share,softmap_load_share,dynamic_load_share,softmap_delta,dynamic_delta,abs_softmap_delta,abs_dynamic_delta
B450,TenneT,0.0339848058654787,0.0209470317397573,0.0209470317397573,-0.013037774125721404,-0.013037774125721404,0.013037774125721404,0.013037774125721404
B451,Amprion,0.0138831733917198,0.0135209542968343,0.0135209542968343,-0.0003622190948854992,-0.0003622190948854992,0.0003622190948854992,0.0003622190948854992
B452,TenneT,0.0092646982616785,0.0055826092797881,0.0055826092797881,-0.0036820889818903997,-0.0036820889818903997,0.0036820889818903997,0.0036820889818903997
B453,TransnetBW,0.0471595240449007,0.0451985091192716,0.0451985091192716,-0.001961014925629105,-0.001961014925629105,0.001961014925629105,0.001961014925629105
B454,Amprion,0.0135378648864682,0.0122596406363935,0.0122596406363935,-0.0012782242500746985,-0.0012782242500746985,0.0012782242500746985,0.0012782242500746985
B455,TenneT,0.0075466018464051,0.007415538646921,0.007415538646921,-0.00013106319948410008,-0.00013106319948410008,0.00013106319948410008,0.00013106319948410008
B456,TenneT,0.0145858454407886,0.0112205077814332,0.0112205077814332,-0.0033653376593553996,-0.0033653376593553996,0.0033653376593553996,0.0033653376593553996
B457,TransnetBW,0.0156855956042992,0.0209901921147795,0.0209901921147795,0.005304596510480299,0.005304596510480299,0.005304596510480299,0.005304596510480299
B458,TenneT,0.015053490426075,0.0117575189614674,0.0117575189614674,-0.003295971464607599,-0.003295971464607599,0.003295971464607599,0.003295971464607599
B459,Amprion,0.0162547293646929,0.0130435265469609,0.0130435265469609,-0.003211202817732,-0.003211202817732,0.003211202817732,0.003211202817732
B460,TenneT,0.0024629960361659,0.0017523169333299,0.0017523169333299,-0.000710679102836,-0.000710679102836,0.000710679102836,0.000710679102836
B461,TenneT,0.0135049119347705,0.0115229091926407,0.0115229091926407,-0.0019820027421298004,-0.0019820027421298004,0.0019820027421298004,0.0019820027421298004
B462,TransnetBW,0.0036517557696125,0.0112374835351389,0.0112374835351389,0.0075857277655264,0.0075857277655264,0.0075857277655264,0.0075857277655264
