Line,From_bus,To_bus,From_zone,To_zone,PreStructuralHoursBinding,StructuralHoursBinding,DeltaHoursBinding,PreStructuralCongestionRent,StructuralCongestionRent,DeltaCongestionRent
810,B465,B98,TenneT,TenneT,0.0,0.0,0.0,-413.00088625221747,-379.13655397879654,33.86433227342093
811,B101,B639,Amprion,Amprion,0.0,0.0,0.0,-525.1395751234463,-647.2815015079981,-122.14192638455177
812,B346,B164,Amprion,Amprion,0.0,0.0,0.0,-0.0,-0.0,0.0
813,B102,B103,Amprion,Amprion,0.0,0.0,0.0,-54.44843107799502,-33.42925387461116,21.019177203383855
814,B104,B386,TransnetBW,TransnetBW,0.0,0.0,0.0,-116.50578914593375,-111.81469478427192,4.6910943616618255
815,B104,B369,TransnetBW,TransnetBW,0.0,0.0,0.0,-1844.5882370465451,-1783.1492983205583,61.43893872598687
816,B402,B107,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
817,B202,B108,TransnetBW,TransnetBW,0.0,0.0,0.0,-1052.9274184208368,-937.588401784441,115.33901663639585
818,B310,B109,Amprion,Amprion,0.0,0.0,0.0,0.0,0.0,0.0
819,B755,B110,50Hertz,50Hertz,0.0,0.0,0.0,6183.590908292889,6594.645292566732,411.0543842738425
820,B110,B676,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
821,B228,B403,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
822,B228,B762,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
823,B704,B654,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
824,B111,B174,Amprion,Amprion,0.0,0.0,0.0,-0.0,-0.0,0.0
825,B666,B347,Amprion,Amprion,0.0,0.0,0.0,305.79702567980644,170.4701549179246,-135.32687076188185
826,B540,B143,TenneT,TenneT,0.0,0.0,0.0,-1188.102032935903,-1267.7757881128769,-79.67375517697383
827,B305,B628,50Hertz,50Hertz,0.0,0.0,0.0,1642.6652630073045,1251.4948594208868,-391.1704035864177
828,B246,B364,TransnetBW,TransnetBW,13.0,13.0,0.0,264526.25288260385,190209.05746767475,-74317.1954149291
829,B113,B446,Amprion,Amprion,0.0,0.0,0.0,25.366966894582976,17.24738861705436,-8.119578277528618
830,B110,B636,50Hertz,50Hertz,0.0,0.0,0.0,5501.08148666723,6162.310395728246,661.2289090610157
831,B114,B115,TransnetBW,TransnetBW,0.0,0.0,0.0,-1301.0172497630333,-1210.514469887276,90.50277987575737
